sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151510,all_gene,0,10,0.971060455,0.964350045,0.835294664,0.832134187,0.09285301,0.09192431,0.985423982,0.982013285
151510,all_gene,1,10,0.966866136,0.965730131,0.833254039,0.832827091,0.092252374,0.092133045,0.983293533,0.982715666
151510,all_gene,2,10,0.967462242,0.966466188,0.833621085,0.832950175,0.092438102,0.092336714,0.983596563,0.983090103
151510,all_gene,3,10,0.969971359,0.970037878,0.834646165,0.834745347,0.092665553,0.092417479,0.984871268,0.984905005
151510,all_gene,4,10,0.968222082,0.96770525,0.834023654,0.833884716,0.092443287,0.092397213,0.983982742,0.983720124
151510,all_gene,5,10,0.967491388,0.967829287,0.833840132,0.833598197,0.092176259,0.092409074,0.983611405,0.983783126
151510,all_gene,6,10,0.966782928,0.96687603,0.833286345,0.833514869,0.092408061,0.092279732,0.983251214,0.98329854
151510,all_gene,7,10,0.968376338,0.964233875,0.83417803,0.831886768,0.092469156,0.091902137,0.984061122,0.981954098
151510,all_gene,8,10,0.965323269,0.968119025,0.832414448,0.833858848,0.092110753,0.092471898,0.982508659,0.983930409
151510,all_gene,9,10,0.967569768,0.968152523,0.833842576,0.833806634,0.092431605,0.092277229,0.983651221,0.983947396
151510,all_gene,0,30,1.124286175,1.116652369,0.907731235,0.904340923,0.109779954,0.108656824,1.060323596,1.056717753
151510,all_gene,1,30,1.119440675,1.118831038,0.905470312,0.905404568,0.109023333,0.108965874,1.058036208,1.057748079
151510,all_gene,2,30,1.119855404,1.119122505,0.905596852,0.905083835,0.109187007,0.109179258,1.058232188,1.057885885
151510,all_gene,3,30,1.123005509,1.123512983,0.907034099,0.907213986,0.109527826,0.109318435,1.059719563,1.059958935
151510,all_gene,4,30,1.121475816,1.12072897,0.906788409,0.906099975,0.109338343,0.109244585,1.058997512,1.058644891
151510,all_gene,5,30,1.120958447,1.121082783,0.906490445,0.90607965,0.10902828,0.1092816,1.058753252,1.058812022
151510,all_gene,6,30,1.119732857,1.120093584,0.905681849,0.906083465,0.109261453,0.109154999,1.058174253,1.058344722
151510,all_gene,7,30,1.121243596,1.11772728,0.906575382,0.904586256,0.109336972,0.108746707,1.058887959,1.057226181
151510,all_gene,8,30,1.117784023,1.121310949,0.904542506,0.906452358,0.108849704,0.109367251,1.057253003,1.058919668
151510,all_gene,9,30,1.12106967,1.121376872,0.90649271,0.9062289,0.109335244,0.109127343,1.058805823,1.058950782
151510,all_gene,0,60,1.181646466,1.174627662,0.93547368,0.932303369,0.115712702,0.114667654,1.087035656,1.083802462
151510,all_gene,1,60,1.177230239,1.176807404,0.933381557,0.933360159,0.115027308,0.115000188,1.085002422,1.084807515
151510,all_gene,2,60,1.177908421,1.176867485,0.93346566,0.932972908,0.115242481,0.115187645,1.08531487,1.084835291
151510,all_gene,3,60,1.180497885,1.181188107,0.934749126,0.93512094,0.115483403,0.115282714,1.086507201,1.086824775
151510,all_gene,4,60,1.179724574,1.178902626,0.934835851,0.934031069,0.115424335,0.115294278,1.086151242,1.085772872
151510,all_gene,5,60,1.178851366,1.179438591,0.934230506,0.934068799,0.115042806,0.115356088,1.085749269,1.086019635
151510,all_gene,6,60,1.177572012,1.177832603,0.933521092,0.933892787,0.115287483,0.115160406,1.085159898,1.085279942
151510,all_gene,7,60,1.179159284,1.175607681,0.934562027,0.932486176,0.115353644,0.114759028,1.085891008,1.084254384
151510,all_gene,8,60,1.17497921,1.178607702,0.932198405,0.934037447,0.114783347,0.115298867,1.083964586,1.085636973
151510,all_gene,9,60,1.178630114,1.179436088,0.934175968,0.934144199,0.115304887,0.11517787,1.085647345,1.086018443
151510,all_gene,0,90,1.208855629,1.201923132,0.948732376,0.945621669,0.118492663,0.117440522,1.099479675,1.096322536
151510,all_gene,1,90,1.204769731,1.203661442,0.946825683,0.946476161,0.117826879,0.117733717,1.09762001,1.09711504
151510,all_gene,2,90,1.205060244,1.204102397,0.946721315,0.94626987,0.117999434,0.11796838,1.097752333,1.097316027
151510,all_gene,3,90,1.207722068,1.208584905,0.948067248,0.948531449,0.118247271,0.118083417,1.098964095,1.099356532
151510,all_gene,4,90,1.206791997,1.205849171,0.948014677,0.947201014,0.118186057,0.118021786,1.098540902,1.098111629
151510,all_gene,5,90,1.206240773,1.206405401,0.947603703,0.947232902,0.117836297,0.118106246,1.098289967,1.09836483
151510,all_gene,6,90,1.204650164,1.205068946,0.946743727,0.947190583,0.118044913,0.117928028,1.097565532,1.097756267
151510,all_gene,7,90,1.206221342,1.202765584,0.947752357,0.945798993,0.118104517,0.117515445,1.098281026,1.096706748
151510,all_gene,8,90,1.202071428,1.205932021,0.94549942,0.947365999,0.117533803,0.118076146,1.096390128,1.098149419
151510,all_gene,9,90,1.205825806,1.206590056,0.947480798,0.947388768,0.118081331,0.117938221,1.09810102,1.098448873
151510,all_gene,0,120,1.226696014,1.219973683,0.957490146,0.95447588,0.120310426,0.119280219,1.107563138,1.104524136
151510,all_gene,1,120,1.222747684,1.221691012,0.955670476,0.955364466,0.119655728,0.11956495,1.105779171,1.10530138
151510,all_gene,2,120,1.223131061,1.222242832,0.95556432,0.955183446,0.119846106,0.119817615,1.105952501,1.105550885
151510,all_gene,3,120,1.225772738,1.226510644,0.956915021,0.957366824,0.120087683,0.1198982,1.107146263,1.107479453
151510,all_gene,4,120,1.224645734,1.223695397,0.956824541,0.955977857,0.120003462,0.119836569,1.10663712,1.106207609
151510,all_gene,5,120,1.224330068,1.224442363,0.956449747,0.956098557,0.119678736,0.119943261,1.106494546,1.10654521
151510,all_gene,6,120,1.222673416,1.222942591,0.955657899,0.955967307,0.119878531,0.119744658,1.105745673,1.105867386
151510,all_gene,7,120,1.224327564,1.220796585,0.95664537,0.954669535,0.11994946,0.119360328,1.106493354,1.104896665
151510,all_gene,8,120,1.220167875,1.223992467,0.954376519,0.956232429,0.119376779,0.119921386,1.104612112,1.106341958
151510,all_gene,9,120,1.223953247,1.224643111,0.956358969,0.956208706,0.119942784,0.119783163,1.106324196,1.106635928
