sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151670,all_gene,0,10,0.685653389,0.684212506,0.697509885,0.696302474,0.089155972,0.089012861,0.828041911,0.827171385
151670,all_gene,1,10,0.683861196,0.683222711,0.696336269,0.696270108,0.088805556,0.088632822,0.826959014,0.826572895
151670,all_gene,2,10,0.683518171,0.684295416,0.696229517,0.696600676,0.088827312,0.08897692,0.82675159,0.827221513
151670,all_gene,3,10,0.684035778,0.683446765,0.696622014,0.695835829,0.089042127,0.088799238,0.827064574,0.826708376
151670,all_gene,4,10,0.683333635,0.68592006,0.69603461,0.697514951,0.088845789,0.089177012,0.82663995,0.828202903
151670,all_gene,5,10,0.683875084,0.683668375,0.695901811,0.696126103,0.088722706,0.0890311,0.826967418,0.826842427
151670,all_gene,6,10,0.683890879,0.682921469,0.69638437,0.695651174,0.088817775,0.088665426,0.826976955,0.826390624
151670,all_gene,7,10,0.684328556,0.682107925,0.696538031,0.695468843,0.088902354,0.088535666,0.82724154,0.82589823
151670,all_gene,8,10,0.684529305,0.685158193,0.696574509,0.696670711,0.088971913,0.088975132,0.827362835,0.827742815
151670,all_gene,9,10,0.682365179,0.684478164,0.695391357,0.696655631,0.088634253,0.08897227,0.826053977,0.82733196
151670,all_gene,0,30,0.788315654,0.786092341,0.753194928,0.751598179,0.105120301,0.104886472,0.887871444,0.886618495
151670,all_gene,1,30,0.785576701,0.785244823,0.751576483,0.751646519,0.10462594,0.104465008,0.886327624,0.886140406
151670,all_gene,2,30,0.785328984,0.786574304,0.751576543,0.751927018,0.104645073,0.104884028,0.886187911,0.886890233
151670,all_gene,3,30,0.785439909,0.786096156,0.751783252,0.751669228,0.104847968,0.104749858,0.886250496,0.886620641
151670,all_gene,4,30,0.785273015,0.788157642,0.751560032,0.752839148,0.104702175,0.105100632,0.886156321,0.887782454
151670,all_gene,5,30,0.785643101,0.7857427,0.751141489,0.751409769,0.104508936,0.104938924,0.886365116,0.886421263
151670,all_gene,6,30,0.785427928,0.785454512,0.751472056,0.75140053,0.104608834,0.104579628,0.886243701,0.886258721
151670,all_gene,7,30,0.786817491,0.783223927,0.752177,0.750688136,0.104846179,0.104213774,0.887027323,0.884999394
151670,all_gene,8,30,0.786507189,0.787584126,0.751971602,0.752221465,0.104842424,0.104900479,0.886852384,0.887459338
151670,all_gene,9,30,0.784103155,0.786226392,0.750767589,0.75196445,0.104459584,0.104790211,0.88549602,0.886694074
151670,all_gene,0,60,0.821427822,0.819181144,0.771036506,0.769485831,0.110172749,0.10993433,0.906326532,0.905086279
151670,all_gene,1,60,0.818897128,0.81848675,0.769515872,0.769563437,0.109716535,0.109521091,0.90492934,0.904702604
151670,all_gene,2,60,0.818840802,0.819684505,0.769723952,0.769761264,0.109763503,0.109923542,0.904898226,0.905364275
151670,all_gene,3,60,0.818620443,0.81930089,0.769738913,0.769780517,0.109915316,0.109796762,0.904776454,0.90515244
151670,all_gene,4,60,0.818621457,0.821472764,0.769577444,0.770879149,0.109757721,0.11018312,0.90477705,0.906351328
151670,all_gene,5,60,0.818814814,0.818906069,0.769017458,0.769429505,0.10954386,0.110007048,0.904883862,0.904934287
151670,all_gene,6,60,0.818720996,0.81832552,0.769436538,0.769221127,0.109673619,0.109570503,0.904832006,0.904613435
151670,all_gene,7,60,0.820073187,0.816442847,0.770161688,0.768609881,0.109894454,0.109279931,0.905578911,0.903572261
151670,all_gene,8,60,0.819863796,0.820817053,0.7700091,0.770157754,0.109941423,0.109953225,0.905463278,0.905989528
151670,all_gene,9,60,0.817276537,0.819316864,0.768712521,0.769878805,0.109492481,0.109844446,0.904033482,0.905161262
151670,all_gene,0,90,0.836806715,0.83447361,0.779480398,0.777857959,0.112441599,0.112188935,0.914771378,0.913495243
151670,all_gene,1,90,0.834224343,0.83411181,0.777938902,0.778089702,0.111959517,0.111827374,0.913358808,0.913297236
151670,all_gene,2,90,0.833897829,0.835117579,0.778033197,0.778184831,0.111972988,0.112199545,0.913180053,0.913847685
151670,all_gene,3,90,0.834012508,0.834657371,0.77820009,0.778218627,0.11218667,0.11205411,0.913242877,0.913595855
151670,all_gene,4,90,0.833898783,0.837059557,0.777981222,0.779403329,0.11200583,0.112486541,0.91318059,0.914909601
151670,all_gene,5,90,0.834219456,0.834160626,0.777476311,0.777815521,0.111800015,0.112264037,0.913356125,0.913323939
151670,all_gene,6,90,0.834108591,0.833767056,0.777898729,0.777642787,0.111938477,0.11184901,0.913295448,0.913108468
151670,all_gene,7,90,0.835458338,0.831806481,0.778643668,0.777074575,0.112158716,0.111539423,0.914034128,0.912034273
151670,all_gene,8,90,0.835108042,0.836194873,0.778435826,0.778576016,0.112181842,0.112211823,0.91384244,0.914436936
151670,all_gene,9,90,0.832680702,0.834701896,0.777208447,0.778309882,0.111756563,0.112108588,0.912513375,0.913620234
151670,all_gene,0,120,0.847219408,0.84462744,0.785235167,0.783491552,0.113933623,0.113637149,0.920445204,0.91903615
151670,all_gene,1,120,0.844441175,0.844289005,0.783618212,0.783742607,0.11341846,0.113279879,0.918934822,0.918852031
151670,all_gene,2,120,0.844058931,0.845248759,0.783700585,0.783788562,0.113422453,0.113647819,0.918726802,0.919374108
151670,all_gene,3,120,0.844062328,0.845051229,0.783773959,0.783988535,0.113636494,0.113540232,0.91872865,0.919266701
