sample_number,data_mode,split_version,k,test_mse,val_mse,test_l1_distance,val_l1_distance,test_cosine_sim,val_cosine_sim,test_rmse,val_rmse
151509,all_gene,0,10,0.9599033,0.957564592,0.8288306,0.827512741,0.095994949,0.095723331,0.979746521,0.978552282
151509,all_gene,1,10,0.959568322,0.957262814,0.828512847,0.82770896,0.096130133,0.095816553,0.979575574,0.978398085
151509,all_gene,2,10,0.958687425,0.957225263,0.828407407,0.82693994,0.096007407,0.095875561,0.979125857,0.978378892
151509,all_gene,3,10,0.95979619,0.959885776,0.828880787,0.828644395,0.096083581,0.096081495,0.979691863,0.97973758
151509,all_gene,4,10,0.955709696,0.957196414,0.826708078,0.827412307,0.095810056,0.095929503,0.977604032,0.97836417
151509,all_gene,5,10,0.958690822,0.95897603,0.828214228,0.828412473,0.096089542,0.096081853,0.979127586,0.9792732
151509,all_gene,6,10,0.960260928,0.958949864,0.828893304,0.828197956,0.096155465,0.096091151,0.97992903,0.979259849
151509,all_gene,7,10,0.958567739,0.959322095,0.827856302,0.828477144,0.095918119,0.096139252,0.979064703,0.979449868
151509,all_gene,8,10,0.956839919,0.957904041,0.827380836,0.82800597,0.09587878,0.095932066,0.978181958,0.978725731
151509,all_gene,9,10,0.956975937,0.95841676,0.827146769,0.828422546,0.095809698,0.09586519,0.978251457,0.978987634
151509,all_gene,0,30,1.100056887,1.099028587,0.895460248,0.894778728,0.112165391,0.112088621,1.048835993,1.048345685
151509,all_gene,1,30,1.099864364,1.098621488,0.895177245,0.894756138,0.112369359,0.112163246,1.048744202,1.048151493
151509,all_gene,2,30,1.09961617,1.098198771,0.895365059,0.894103944,0.11231178,0.112164021,1.048625827,1.047949791
151509,all_gene,3,30,1.101373315,1.100140691,0.896127522,0.895195365,0.112461925,0.11231178,1.049463391,1.048875928
151509,all_gene,4,30,1.096580029,1.097158432,0.893653691,0.894041777,0.112104654,0.112097561,1.047177196,1.047453284
151509,all_gene,5,30,1.10050118,1.100199819,0.895452201,0.895498157,0.11253494,0.112432897,1.049047709,1.048904061
151509,all_gene,6,30,1.101736546,1.099765062,0.896196663,0.895013988,0.112536132,0.11237967,1.049636364,1.048696876
151509,all_gene,7,30,1.098804951,1.099725485,0.894657791,0.894998491,0.112134337,0.112405241,1.048238993,1.048677921
151509,all_gene,8,30,1.097609758,1.098447323,0.894146502,0.894916058,0.112160206,0.112195194,1.047668695,1.048068404
